A&E,48,http://signage.unitedcenter.com/tvguide/crestron/tvicons/A&E.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,A&E.png
ABC,7.1,http://signage.unitedcenter.com/tvguide/crestron/tvicons/ABC.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,ABC.png
ABC Family ,44,http://signage.unitedcenter.com/tvguide/crestron/tvicons/ABCFamily.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,ABCFamily.png
AMC ,50,http://signage.unitedcenter.com/tvguide/crestron/tvicons/AMC.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,AMC.png
Antenna,9.2,http://signage.unitedcenter.com/tvguide/crestron/tvicons/YESNetwork.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,YESNetwork.png
BET ,45,http://signage.unitedcenter.com/tvguide/crestron/tvicons/BET.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,BET.png
Big Ten ,58.1,http://signage.unitedcenter.com/tvguide/crestron/tvicons/BigTenNetwork.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,BigTenNetwork.png
Bloomberg,30,http://signage.unitedcenter.com/tvguide/crestron/tvicons/BloombergTelevision.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,BloombergTelevision.png
Bounce,26.5,http://signage.unitedcenter.com/tvguide/crestron/tvicons/YESNetwork.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,YESNetwork.png
Buzzr,50.4,http://signage.unitedcenter.com/tvguide/crestron/tvicons/YESNetwork.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,YESNetwork.png
CBS,2.1,http://signage.unitedcenter.com/tvguide/crestron/tvicons/CBS.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,CBS.png
CBS Sports  ,53.2,http://signage.unitedcenter.com/tvguide/crestron/tvicons/YESNetwork.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,YESNetwork.png
CLTV ,14,http://signage.unitedcenter.com/tvguide/crestron/tvicons/YESNetwork.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,YESNetwork.png
CNBC,28,http://signage.unitedcenter.com/tvguide/crestron/tvicons/CNBC.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,CNBC.png
CNN ,53.1,http://signage.unitedcenter.com/tvguide/crestron/tvicons/CNN.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,CNN.png
CNN Headline News,27,http://signage.unitedcenter.com/tvguide/crestron/tvicons/YESNetwork.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,YESNetwork.png
Comcast Sportsnet ,60.1,http://signage.unitedcenter.com/tvguide/crestron/tvicons/ComastSportsNet.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,ComastSportsNet.png
Comcast Sportsnet Plus ,54.1,http://signage.unitedcenter.com/tvguide/crestron/tvicons/YESNetwork.png,http://,signage.unitedcenter.com/tvguide/,crestron/,tvicons/,YESNetwork.png
