A&E - 48
ABC (WLS)  - 7
ABC (WLS)  HD - 7.1
ABC Family  - 44
AMC  - 50
AWAY Truck HD - 4.2
Antenna (WGN-DT2) - 9.2
BET  - 45
BLU RAY - 95.1
Big Ten Network HD - 58.1
Bloomberg - 30
Bounce (WCIU-DT5) - 26.5
CBS (WBBM) - 12
CBS (WBBM)  HD - 2.1
CBS Sports Network  HD - 53.2
CLTV  - 14
CNBC - 28
CNN - 26
CNN HD - 53.1
Channel Guide - 2
Coach Cam - 97
Comcast Sportsnet  - 17
Comcast Sportsnet HD - 60.1
Comcast Sportsnet Plus HD - 54.1
Comedy Central  - 43
Create (WTTW-DT3)  - 11.3
DVD SD - 95
Discovery Channel  - 37
E!  - 40
ESPN - 21
ESPN HD - 60.2
ESPN U HD - 55.1
ESPN2 - 22
ESPN2 HD - 61.1
FOX (WFLD)  - 10
FOX (WFLD)  HD - 32.1
FX Networks  - 41
Food Network  - 49
Fox News - 32
Fox Sports 1 - 25
Game Clock - 96
Golf Channel - 24
Golf Channel USA HD - 58.3
HLN - 27
History Channel  - 36
Home TV SD - 5
Home Truck HD - 4.1
Home Truck SD - 99
Live Well (WLS-DT2)  - 7.2
MLB Network - 20
MLB Network HD - 59.1
MNT (WPWR) - 9
MNT (WPWR) HD - 50.1
MSNBC - 29
MeTV (WCIU-DT3)  - 26.3
Movies! (WPWR-DT2)  - 50.2
NBA League Pass 1 - 18.11
NBA League Pass 1 HD - 18.2
NBA League Pass 10 - 18.20
NBA League Pass 2 - 18.12
NBA League Pass 3 - 18.13
NBA League Pass 4 - 18.14
NBA League Pass 5 - 18.15
NBA League Pass 6 - 18.16
NBA League Pass 7 - 18.17
NBA League Pass 8 - 18.18
NBA League Pass 9 - 18.19
NBA TV USA - 18
NBA TV USA HD - 18.1
NBC (WMAQ) - 15
NBC (WMAQ)  HD - 5.1
NBC Sports Network - 16
NBC Sports Network HD - 57.1
NFL Network HD - 57.2
NHL Centre Ice 1 - 19.11
NHL Centre Ice 10 - 19.20
NHL Centre Ice 11 - 19.21
NHL Centre Ice 12 - 19.22
NHL Centre Ice 2 - 19.12
NHL Centre Ice 3 - 19.13
NHL Centre Ice 4 - 19.14
NHL Centre Ice 5 - 19.15
NHL Centre Ice 6 - 19.16
NHL Centre Ice 7 - 19.17
NHL Centre Ice 8 - 19.18
NHL Centre Ice 9 - 19.19
NHL Centre Ice Extra - 19.23
NHL Centre Ice HD 1 - 19.2
NHL Centre Ice HD 2 - 19.3
NHL League Wide - 19.24
NHL Network USA - 19
NHL Network USA HD - 19.1
PBS (WTTW) - 11
PBS (WTTW) HD - 11.1
PBS (WYCC)  HD - 11.2
SPIKE USA  - 46
Scoreboard HD - 3.1
Scoreboard SD - 4
Suites Info - 97.1
Syfy  - 47
TBS - 58.2
TBS  - 33
THIS (WGN-DT3)  - 9.3
TLC - 38
TNT  - 35
TNT HD  - 61.2
TSN1 HD - 23.1
TV Land - 42
The Weather Channel - 31
Travel Channel HD - 49.1
UMN - 98.1
USA Network  - 34
USA Network HD - 59.2
VH1 - 39
WCIU  - 8
WCIU HD - 26.1
WGN Chicago - 6
WGN Chicago HD - 9.1
