name,id
HBO Signature (HBO 3) - Eastern HD,7099
HBO Zone HD - East,7102
HBO Latino (HBO 7) HD - Eastern,7096
MoreMax - Eastern HD,7097
ReelzChannel HD,8836
Oxygen HD - Eastern,6846
MSNBC USA HD,6995
HLN HD,6994
Turner Classic Movies USA HD,7049
truTV USA HD - East,6996
Hallmark Channel HD - Eastern,6213
HSN  - Home Shopping Network HD,7237
History 2 HD,7300
Investigation Discovery USA HD,6997
Crime & Investigation Network USA HD,6216
BBC America - East HD,11121
Outdoor Channel US HD,4638
Galavision HD - Pacific,9484
Uni Deportes HD,11146
SEC Network HD,13712
FXX USA HD,7506
Cozi TV -  Eastern,14343
Live Well (WLS-DT2) Chicago, IL,9417
Antenna (WGN-DT2) Chicago, IL,8330
THIS (WGN-DT3) Chicago, IL,14443
MeTV (WCIU-DT3) Chicago, IL,8600
H&I (WCIU-DT4) Chicago, IL,14808
Bounce (WCIU-DT5) Chicago, IL,11342
Movies! (WPWR-DT2) Chicago, IL,11857
V-Me (WTTW-DT4) Chicago, Il,8591
Create (WTTW-DT3) Chicago, IL,8590
MHz Worldview (WYCC-DT3) Chicago, IL,14665
FNX (WYCC-DT3) Chicago, IL,14444
TBN (WWTO) Chicago, IL,4633
Smile of a Child TV (WWTO-DT5) Chicago, IL,14445
Juce TV (WWTO-DT3) Chicago, IL,14446
TCC (WWTO-DT2) Chicago, IL,14448
TBN Enlace (WWTO-DT4) Chicago, IL,14447
MMax (WOCK-CD) Chicago, IL,10870
SSTN (WOCK-DT5) Chicago, IL,12458
Cool TV (WOCK-DT4) Chicago, IL,14450
Azteca America - East,2142
TeleXitos (WSNS-DT2) Chicago, IL,14452
Estrella (WESV-LD) Chicago, IL HD,14453
beIN Sport USA,10853
FXX USA,1952
ESPN News,1527
ESPN Classics USA,1077
NHL Network USA,14156
ESPN U,3331
Outdoor Channel US,1086
TVG 2 - Horse Racing,535
Fox Sports 1,668
Outside Television,10876
MLB Network,6178
NFL Network,3349
Fox College Sports - Atlantic,3352
Fox College Sports - Central,3351
Fox College Sports - Pacific,3350
Sportsman Channel,2075
The Tennis Channel,2269
CBS Sports Network USA,3115
Pac-12 Network,10705
SNY: SportsNet New York (Comcast),4186
SEC Network,13711
Comcast Sportsnet New England,4529
Fox Sports Sun - Lightening/Magic,4816
Fox Sports West Prime Ticket,2592
Comcast SportsNet Bay Area,1117
WFN-World Fishing Network,2414
ESPN Buzzer Beater,9003
NBA TV USA,3116
NBA League Pass 1,15355
NBA League Pass 2,15359
NBA League Pass 3,15361
NBA League Pass 4,15363
NBA League Pass 5,15365
NBA League Pass 6,15367
NBA League Pass 7,15369
NBA League Pass 8,15371
NBA League Pass 9,15373
NBA League Pass 10,15357
NBA League Pass 1 HD,15356
NHL Center Ice 2 HD,15384
NHL Center Ice 1 HD,15376
NHL Center Ice 1,15375
NHL Center Ice 2,15383
NHL Center Ice 3,15385
NHL Center Ice 4,15387
NHL Center Ice 5,15389
NHL Center Ice 6,15392
NHL Center Ice 7,15393
NHL Center Ice 8,15395
NHL Center Ice 9,15397
NHL Center Ice 10,15377
VH1 Classics - East,2093
UP,5911
NHL Center Ice 11,15379
NHL Center Ice 12,15401
NHL Center Ice Extra,9162
NHL League Wide,6026
CENTRIC,6837
GAC - Great American Country,1051
Daystar  - Network,6828
The Word Network,13473
Military History,5271
Crime & Investigation Network USA,5272
Turner Classic Movies USA,176
WE (Women's Entertainment) - Eastern,664
Independent Film Channel US,1966
LMN - East,1333
SundanceTV USA - East,1848
FX Movie Channel,1308
ReelzChannel,4175
Hallmark Movies & Mysteries - Eastern,4453
Encore Family - Eastern,2128
Encore - Eastern,667
Encore Classics - Eastern,2080
Encore Suspense - Eastern,1958
RETROplex - Eastern,2342
Encore Westerns - Eastern,1959
Encore Black - Eastern,4206
INDIEplex - Eastern,2340
Encore Action - Eastern,2078
Starz - Eastern,583
Starz Edge - Eastern,2120
Starz In Black - Eastern,1957
Starz Cinema - Eastern,2680
Starz Kids & Family - Eastern,1194
Starz Comedy - Eastern,4223
HBO - Eastern Feed,614
HBO - Pacific Feed,1472
HBO 2 - Eastern Feed,626
HBO Signature (HBO 3) - Eastern,1651
HBO Family - Eastern Feed,628
HBO Latino (HBO 7) - Eastern,631
HBO Comedy - East,629
HBO Zone - East,630
Cinemax - Pacific Feed,1215
Cinemax - Eastern Feed,632
MoreMax  Eastern,634
ActionMax - Eastern,1377
5 Star Max - Eastern,636
Showtime - Eastern Feed,665
Showtime 2 - Eastern,1387
Showtime Showcase - Eastern,2077
Showtime Extreme - Eastern,1615
Showtime Next - Eastern,2272
Showtime Family Zone - Eastern,1956
Showtime Women - Eastern,2273
FLIX - Eastern,1399
beIN Sport en Espanol,10855
Uni Deportes,11145
NBC Universo - Eastern feed,1797
ESPN Deportes,2108
V-Me (WTTW-DT4) Chicago, Il,8591
TBN Enlace (WWTO-DT4) Chicago, IL,14447
MMax (WOCK-CD) Chicago, IL,10870
Estrella (WESV-LD) Chicago, IL HD,14453
TeleXitos (WSNS-DT2) Chicago, IL,14452
